BASIN,CY,YYYYMMDDHH,LAT,LON,VMAX,STORMNAME
WP,,201311040000,6.1,152.2,35,HAIYAN
WP,,201311040600,6.2,150.4,35,HAIYAN
WP,,201311041200,6.3,148.8,40,HAIYAN
WP,,201311041800,6.5,147.2,45,HAIYAN
WP,,201311050000,6.5,145.9,55,HAIYAN
WP,,201311050600,6.5,144.6,60,HAIYAN
WP,,201311051200,6.9,142.9,65,HAIYAN
WP,,201311051800,7.1,141.3,75,HAIYAN
WP,,201311060000,7.3,139.7,85,HAIYAN
WP,,201311060600,7.6,138,95,HAIYAN
WP,,201311061200,7.9,136.2,105,HAIYAN
WP,,201311061800,8.2,134.4,115,HAIYAN
WP,,201311070000,8.7,132.8,115,HAIYAN
WP,,201311070600,9.3,131.1,115,HAIYAN
WP,,201311071200,10.2,129.1,125,HAIYAN
WP,,201311071800,10.6,126.9,125,HAIYAN
WP,,201311080000,11,124.8,110,HAIYAN
WP,,201311080600,11.4,122.5,90,HAIYAN
WP,,201311081200,11.9,120.5,90,HAIYAN
WP,,201311081800,12.2,118,90,HAIYAN
WP,,201311090000,12.3,116.6,90,HAIYAN
WP,,201311090600,13.5,114.8,90,HAIYAN
WP,,201311091200,14.4,113.1,85,HAIYAN
WP,,201311091800,15.4,111.4,80,HAIYAN
WP,,201311100000,16.5,110.3,75,HAIYAN
WP,,201311100600,17.9,109,70,HAIYAN
WP,,201311101200,19.4,108,65,HAIYAN
WP,,201311101800,20.4,107.5,60,HAIYAN
WP,,201311110000,21.5,107.1,40,HAIYAN
